cartodb_id,the_geom,time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
1572,0101000020E61000001D386744695562C035CD3B4ED1D14E40,2015-10-11 21:04:14+00,61.6392,-146.6691,18.4,2.2,ml,,,,0.82,ak,ak11736880,2015-10-16 23:34:31.572+00,"59km NNW of Valdez, Alaska",earthquake
555,0101000020E61000009DC420B072B05EC0AA1D0FC704674340,2015-10-15 18:37:20.12+00,38.8048333,-122.757,0.41,2.3,md,33,53,0.03009,0.04,nc,nc72537800,2015-10-16 23:55:05.432+00,"3km WSW of Cobb, California",earthquake
556,0101000020E6100000ACADD85F76C75DC09E5E29CB10C74340,2015-10-15 18:27:38.559+00,39.5552,-119.1166,11.6,1.6,ml,8,175.51,0.259,0.1145,nn,nn00514755,2015-10-16 15:17:36.062+00,"13km ESE of Fernley, Nevada",earthquake
822,0101000020E6100000271B6A6FCB4E5DC0E6FC5E549C054140,2015-10-14 17:02:35.06+00,34.0438333,-117.2311667,14.31,1.1,ml,56,49,0.09897,0.17,ci,ci37475656,2015-10-14 18:21:45.568+00,"3km E of Loma Linda, California",earthquake
823,0101000020E6100000FBBF8F0F9F7D5EC03108AC1C5AE44240,2015-10-14 17:00:56.62+00,37.784,-121.9628333,8.08,1.12,md,14,103,0.07835,0.05,nc,nc72536825,2015-10-17 02:54:25.42+00,"1km ENE of San Ramon, California",earthquake
817,0101000020E61000000F9C33A2B49F61C03C0AD7A3701D4E40,2015-10-14 17:14:53+00,60.23,-140.9908,5.4,1.5,ml,,,,0.68,ak,ak11739607,2015-10-14 18:11:49.676+00,"82km ENE of Cape Yakataga, Alaska",earthquake
1,0101000020E6100000BDF3D59F8E7D5EC051723DC049E44240,2015-10-18 01:26:35.82+00,37.7835007,-121.9618301,8.03,1.92,md,16,86,0.07907,0.04,nc,nc72539465,2015-10-18 01:28:14.62+00,"1km ENE of San Ramon, California",earthquake
2,0101000020E6100000C9602063C93F5DC0E2795F4B7E294140,2015-10-18 01:20:32.46+00,34.3241667,-116.9966667,2.68,1.05,ml,27,69,0.08809,0.23,ci,ci37477592,2015-10-18 01:24:25.431+00,"12km NW of Big Bear Lake, California",earthquake
3,0101000020E610000030F20DE008B55EC0A69201A08A6B4340,2015-10-18 01:20:15.12+00,38.840168,-122.8286667,1.88,2.2,md,14,87,0.04139,0.03,nc,nc72539445,2015-10-18 01:22:26.72+00,"9km WNW of Cobb, California",earthquake
4,0101000020E6100000058195438B8C5EC01C2E28C23C194740,2015-10-18 01:16:28.54+00,46.1971667,-122.196,1.407,-0.19,ml,6,213,0.004831,0.12,uw,uw61080047,2015-10-18 01:31:46.37+00,"37km NNE of Amboy, Washington",earthquake
5,0101000020E61000008104C58F312363C02CB29DEFA7F64D40,2015-10-18 01:07:36+00,59.927,-153.0998,110.4,2.7,ml,,,,0.63,ak,ak11742083,2015-10-18 01:30:49.167+00,"65km SSW of Redoubt Volcano, Alaska",earthquake
6,0101000020E61000008E7D2480F67D5EC00865D0BF13E54240,2015-10-18 01:07:32.43+00,37.7896652,-121.9681702,8.25,1.35,md,8,156,0.07173,0.04,nc,nc72539435,2015-10-18 01:09:09.67+00,"1km NE of San Ramon, California",earthquake
7,0101000020E6100000006A0F20E8B45EC07CF9F8DFA56B4340,2015-10-18 01:04:57.53+00,38.8409996,-122.8266678,1.84,2.36,md,18,88,0.04109,0.04,nc,nc72539430,2015-10-18 01:07:00.312+00,"9km WNW of Cobb, California",earthquake
8,0101000020E6100000BE7D1D3867F45DC05BD3BCE314F54440,2015-10-18 01:04:06.29+00,41.9147,-119.8188,35.4,2.3,ml,10,79.67,1.075,,nn,nn00515091,2015-10-18 01:06:39.059+00,"53km SE of Lakeview, Oregon",earthquake
9,0101000020E61000007CCD1720767D5EC046270120DDE44240,2015-10-18 01:02:23.13+00,37.7879982,-121.9603348,8.1,2.09,md,19,96,0.07521,0.06,nc,nc72539425,2015-10-18 01:03:59.85+00,"1km ENE of San Ramon, California",earthquake
1751,0101000020E61000003A92CB7F487562C0151DC9E53FBC4F40,2015-10-11 03:10:15+00,63.4707,-147.6651,18,0.8,ml,,,,0.61,ak,ak11736204,2015-10-16 23:33:38.937+00,"64km E of Cantwell, Alaska",earthquake
10,0101000020E61000005723168C254F5DC07D3F355EBA014140,2015-10-18 01:00:32.96+00,34.0135,-117.2366667,12.51,0.88,ml,25,55,0.1055,0.2,ci,ci37477584,2015-10-18 01:04:25.977+00,"4km SSE of Loma Linda, California",earthquake
11,0101000020E6100000CC9717601F7E5EC09F5912A0A6E44240,2015-10-18 00:59:20.34+00,37.786335,-121.970665,7.4,1.37,md,8,191,0.07445,0.06,nc,nc72539420,2015-10-18 01:01:03.17+00,"0km NE of San Ramon, California",earthquake
703,0101000020E6100000EA043411369A61C01DC9E53FA4074F40,2015-10-15 04:37:01+00,62.0597,-140.8191,-9.9,1.1,ml,,,,0.38,ak,ak11740080,2015-10-15 18:38:58.793+00,"180km SE of Tok, Alaska",earthquake
