x,y,array_agg
2,170,[50]
2,169,[50]
3,214,[61]
3,169,[50]
4,170,[50]
4,169,[50]
5,169,[50]
5,168,[50]
6,169,[50]
6,168,[50]
7,169,[50]
7,168,[50]
8,169,[50]
8,168,[50]
9,169,[50]
9,168,[50]
9,147,[50]
9,146,[50]
10,168,[50]
10,147,[50]
10,146,[50]
11,147,[50]
11,138,[50]
11,137,[50]
12,138,[50]
12,137,[50]
13,167,[50]
13,156,[50]
13,139,[50]
13,138,[50]
13,137,[50]
14,167,[50]
14,158,[50]
14,157,[50]
14,156,[50]
14,139,[50]
14,138,[50]
14,137,[50]
15,167,[50]
15,166,[50]
15,139,[50]
15,138,[50]
16,166,[50]
16,165,[50]
16,138,[50]
16,131,[50]
16,130,[50]
17,166,[50]
17,165,[50]
17,148,[50]
17,131,[50]
17,130,[50]
18,165,[50]
18,164,[50]
18,149,[50]
18,148,[50]
18,147,[50]
18,133,[50]
18,132,[50]
18,131,[50]
18,130,[50]
18,129,[50]
18,121,[50]
18,120,[50]
19,165,[50]
19,164,[50]
19,163,[50]
19,149,[50]
19,148,[50]
19,147,[50]
19,144,[50]
19,143,[50]
19,134,[50]
19,133,[50]
19,132,[50]
19,131,[50]
19,130,[50]
19,129,[50]
19,128,[50]
19,121,[50]
19,120,[50]
19,119,[50]
20,164,[50]
20,163,[50]
20,148,[50]
20,147,[50]
20,146,[50]
20,145,[50]
20,144,[50]
20,143,[50]
20,142,[50]
20,141,[50]
20,134,[50]
20,133,[50]
20,132,[50]
20,131,[50]
20,130,[50]
20,129,[50]
20,128,[50]
20,122,[50]
20,121,[50]
20,120,[50]
20,119,[50]
21,163,[50]
21,162,[50]
21,148,[50]
21,147,[50]
21,146,[50]
21,145,[50]
21,144,[50]
21,143,[50]
21,142,[50]
21,141,[50]
21,140,[50]
21,139,[50]
21,135,[50]
21,134,[50]
21,133,[50]
21,132,[50]
21,131,[50]
21,130,[50]
21,129,[50]
21,128,[50]
21,127,[50]
21,123,[50]
21,122,[50]
21,121,[50]
21,120,[50]
21,119,[50]
21,118,[50]
22,163,[50]
22,162,[50]
22,161,[50]
22,149,[50]
22,148,[50]
22,147,[50]
22,146,[50]
22,145,[50]
22,144,[50]
22,143,[50]
22,142,[50]
22,141,[50]
22,140,[50]
22,139,[50]
22,138,[50]
22,134,[50]
22,133,[50]
22,132,[50]
22,131,[50]
22,130,[50]
22,129,[50]
22,128,[50]
22,127,[50]
22,125,[50]
22,124,[50]
22,123,[50]
22,122,[50]
22,121,[50]
22,120,[50]
22,119,[50]
22,118,[50]
23,162,[50]
23,161,[50]
23,149,[50]
23,148,[50]
23,147,[50]
23,146,[50]
23,145,[50]
23,144,[50]
23,143,[50]
23,142,[50]
23,141,[50]
23,140,[50]
23,139,[50]
23,135,[50]
23,134,[50]
23,133,[50]
23,132,[50]
23,131,[50]
23,130,[50]
23,129,[50]
23,128,[50]
23,127,[50]
23,126,[50]
23,125,[50]
23,124,[50]
23,123,[50]
23,122,[50]
23,121,[50]
23,120,[50]
23,119,[50]
23,118,[50]
23,117,[50]
23,116,[50]
24,163,[50]
24,162,[50]
24,161,[50]
24,160,[50]
24,149,[50]
24,148,[50]
24,147,[50]
24,146,[50]
24,145,[50]
24,144,[50]
24,143,[50]
24,142,[50]
24,141,[50]
24,140,[50]
24,139,[50]
24,138,[50]
24,135,[50]
24,134,[50]
24,133,[50]
24,132,[50]
24,131,[50]
24,130,[50]
24,129,[50]
24,127,[50]
24,126,[50]
24,125,[50]
24,124,[50]
24,123,[50]
24,122,[50]
24,121,[50]
24,120,[50]
24,119,[50]
24,118,[50]
24,117,[50]
24,116,[50]
24,115,[50]
24,114,[50]
25,162,[50]
25,161,[50]
25,160,[50]
25,159,[50]
25,152,[50]
25,151,[50]
25,150,[50]
25,149,[50]
25,148,[50]
25,147,[50]
25,146,[50]
25,145,[50]
25,144,[50]
25,143,[50]
25,142,[50]
25,141,[50]
25,140,[50]
25,139,[50]
25,138,[50]
25,134,[50]
25,133,[50]
25,132,[50]
25,131,[50]
25,130,[50]
25,129,[50]
25,128,[50]
25,127,[50]
25,126,[50]
25,125,[50]
25,124,[50]
25,123,[50]
25,122,[50]
25,121,[50]
25,120,[50]
25,119,[50]
25,118,[50]
25,117,[50]
25,116,[50]
25,115,[50]
25,114,[50]
25,113,[50]
26,161,[50]
26,160,[50]
26,159,[50]
26,152,[50]
26,151,[50]
26,150,[50]
26,149,[50]
26,148,[50]
26,147,[50]
26,146,[50]
26,145,[50]
26,144,[50]
26,143,[50]
26,142,[50]
26,141,[50]
26,140,[50]
26,139,[50]
26,138,[50]
26,137,[50]
26,135,[50]
26,134,[50]
26,133,[50]
26,132,[50]
26,131,[50]
26,130,[50]
26,129,[50]
26,128,[50]
26,127,[50]
26,126,[50]
26,125,[50]
26,124,[50]
26,123,[50]
26,122,[50]
26,121,[50]
26,120,[50]
26,119,[50]
26,118,[50]
26,117,[50]
26,116,[50]
26,115,[50]
26,114,[50]
26,113,[50]
27,161,[50]
27,160,[50]
27,159,[50]
27,158,[50]
27,152,[50]
27,151,[50]
27,150,[50]
27,149,[50]
27,148,[50]
27,147,[50]
27,146,[50]
27,145,[50]
27,144,[50]
27,143,[50]
27,142,[50]
27,141,[50]
27,140,[50]
27,139,[50]
27,138,[50]
27,137,[50]
27,136,[50]
27,135,[50]
27,134,[50]
27,133,[50]
27,132,[50]
27,131,[50]
27,130,[50]
27,129,[50]
27,128,[50]
27,127,[50]
27,126,[50]
27,125,[50]
27,124,[50]
27,123,[50]
27,122,[50]
27,121,[50]
27,120,[50]
27,119,[50]
27,118,[50]
27,117,[50]
27,116,[50]
27,115,[50]
27,114,[50]
27,113,[50]
27,112,[50]
28,224,[61]
28,223,[61]
28,162,[50]
28,161,[50]
28,160,[50]
28,159,[50]
28,158,[50]
28,157,[50]
28,151,[50]
28,150,[50]
28,149,[50]
28,148,[50]
28,147,[50]
28,146,[50]
28,145,[50]
28,144,[50]
28,143,[50]
28,142,[50]
28,141,[50]
28,140,[50]
28,139,[50]
28,138,[50]
28,137,[50]
28,136,[50]
28,135,[50]
28,134,[50]
28,133,[50]
28,132,[50]
28,131,[50]
28,130,[50]
28,129,[50]
28,128,[50]
28,127,[50]
28,126,[50]
28,125,[50]
28,124,[50]
28,123,[50]
28,122,[50]
28,121,[50]
28,120,[50]
28,119,[50]
28,118,[50]
28,117,[50]
28,116,[50]
28,115,[50]
28,114,[50]
28,113,[50]
28,112,[50]
28,111,[50]
29,224,[61]
29,223,[61]
29,162,[50]
29,161,[50]
29,160,[50]
29,159,[50]
29,158,[50]
29,157,[50]
29,153,[50]
29,152,[50]
29,151,[50]
29,150,[50]
29,149,[50]
29,148,[50]
29,147,[50]
29,146,[50]
29,145,[50]
29,144,[50]
29,143,[50]
29,142,[50]
29,141,[50]
29,140,[50]
29,139,[50]
29,138,[50]
29,137,[50]
29,136,[50]
29,135,[50]
29,134,[50]
29,133,[50]
29,132,[50]
29,131,[50]
29,130,[50]
29,129,[50]
29,128,[50]
29,127,[50]
29,126,[50]
29,125,[50]
29,124,[50]
29,123,[50]
29,122,[50]
29,121,[50]
29,120,[50]
29,119,[50]
29,118,[50]
29,117,[50]
29,116,[50]
29,115,[50]
29,114,[50]
29,113,[50]
29,112,[50]
29,111,[50]
29,110,[50]
30,224,[61]
30,159,[50]
30,158,[50]
30,157,[50]
30,156,[50]
30,155,[50]
30,153,[50]
30,152,[50]
30,151,[50]
30,150,[50]
30,149,[50]
30,148,[50]
30,147,[50]
30,146,[50]
30,145,[50]
30,144,[50]
30,143,[50]
30,142,[50]
30,141,[50]
30,140,[50]
30,139,[50]
30,138,[50]
30,137,[50]
30,136,[50]
30,135,[50]
30,134,[50]
30,133,[50]
30,132,[50]
30,131,[50]
30,130,[50]
30,129,[50]
30,128,[50]
30,127,[50]
30,126,[50]
30,125,[50]
30,124,[50]
30,123,[50]
30,122,[50]
30,121,[50]
30,120,[50]
30,119,[50]
30,118,[50]
30,117,[50]
30,116,[50]
30,115,[50]
30,114,[50]
30,113,[50]
30,112,[50]
30,111,[50]
31,225,[61]
31,224,[61]
31,158,[50]
31,157,[50]
