x,y,array_agg
2,342,{1186}
2,341,{1186}
2,340,{1186}
2,339,{1186}
3,341,{1186}
3,340,{1186}
3,339,{1186}
3,338,{1186}
4,427,{20163}
4,340,{1186}
4,339,{1186}
4,338,{1186}
5,427,{20163}
5,340,{1186}
5,339,{1186}
5,338,{1186}
6,340,{1186}
6,339,{1186}
6,338,{1186}
7,339,{1186}
7,338,{1186}
8,340,{1186}
8,339,{1186}
8,338,{1186}
9,340,{1186}
9,339,{1186}
9,338,{1186}
9,337,{1186}
10,339,{1186}
10,338,{1186}
10,337,{1186}
11,429,{20163}
11,428,{20163}
11,339,{1186}
11,338,{1186}
11,337,{1186}
12,429,{20163}
12,428,{20163}
12,338,{1186}
12,337,{1186}
13,338,{1186}
13,337,{1186}
13,336,{1186}
14,338,{1186}
14,337,{1186}
15,338,{1186}
15,337,{1186}
15,336,{1186}
16,435,{20163}
16,434,{20163}
16,338,{1186}
16,337,{1186}
16,336,{1186}
17,435,{20163}
17,434,{20163}
17,338,{1186}
17,337,{1186}
17,336,{1186}
18,338,{1186}
18,337,{1186}
19,338,{1186}
19,337,{1186}
19,295,{1230}
19,294,{1230}
19,293,{1230}
20,338,{1186}
20,337,{1186}
20,336,{1186}
20,296,{1230}
20,295,{1230}
20,294,{1230}
20,293,{1230}
21,337,{1186}
21,336,{1186}
21,296,{1230}
21,295,{1230}
21,294,{1230}
22,336,{1186}
22,295,{1230}
22,276,{1220}
22,275,{1220}
23,436,{20163}
23,435,{20163}
23,277,{1220}
23,276,{1220}
23,275,{1220}
23,274,{1220}
24,336,{1186}
24,335,{1186}
24,277,{1220}
24,276,{1220}
24,275,{1220}
24,274,{1220}
25,553,{81980}
25,543,{81975}
25,336,{1186}
25,335,{1186}
25,277,{1220}
25,276,{1220}
25,275,{1220}
26,553,{81980}
26,553,{81973}
26,553,{81979}
26,553,{81967}
26,553,{81964}
26,553,{81976}
26,553,{81972}
26,553,{81971}
26,553,{81978}
26,553,{81977}
26,553,{81970}
26,553,{81968}
26,553,{81966}
26,553,{81969}
26,553,{81965}
26,552,{81980}
26,552,{81973}
26,552,{81967}
26,552,{81971}
26,552,{81970}
26,552,{81966}
26,552,{81969}
26,552,{81965}
26,437,{20163}
26,436,{20163}
26,335,{1186}
26,334,{1186}
26,313,{1186}
26,312,{1186}
26,277,{1220}
26,276,{1220}
26,275,{1220}
26,274,{1220}
27,553,{81970}
27,552,{81970}
27,335,{1186}
27,334,{1186}
27,333,{1186}
27,313,{1186}
27,312,{1186}
27,278,{1220}
27,277,{1220}
27,276,{1220}
27,275,{1220}
27,274,{1220}
28,335,{1186}
28,334,{1186}
28,333,{1186}
28,332,{1186}
28,316,{1186}
28,315,{1186}
28,313,{1186}
28,312,{1186}
28,280,{1220}
28,279,{1220}
28,278,{1220}
28,277,{1220}
28,276,{1220}
28,275,{1220}
28,274,{1220}
29,553,{81974}
29,552,{81974}
29,334,{1186}
29,333,{1186}
29,332,{1186}
29,316,{1186}
29,315,{1186}
29,280,{1220}
29,279,{1220}
29,278,{1220}
29,277,{1220}
29,276,{1220}
30,553,{81974}
30,552,{81974}
30,334,{1186}
30,333,{1186}
30,316,{1186}
30,315,{1186}
30,279,{1220}
30,278,{1220}
30,277,{1220}
30,276,{1220}
31,334,{1186}
31,333,{1186}
31,332,{1186}
31,279,{1220}
31,278,{1220}
31,277,{1220}
31,262,{1220}
31,261,{1220}
31,260,{1220}
32,334,{1186}
32,333,{1186}
32,332,{1186}
32,331,{1186}
32,279,{1220}
32,278,{1220}
32,277,{1220}
32,262,{1220}
32,261,{1220}
33,553,{81963}
33,438,{20163}
33,333,{1186}
33,332,{1186}
33,331,{1186}
33,330,{1186}
33,329,{1186}
33,328,{1186}
33,267,{1220}
33,266,{1220}
33,262,{1220}
33,261,{1220}
34,438,{20163}
34,332,{1186}
34,332,{1258}
34,331,{1186}
34,331,{1258}
34,330,{1186}
34,329,{1186}
34,328,{1186}
34,267,{1220}
34,266,{1220}
34,263,{1220}
34,262,{1220}
34,261,{1220}
34,260,{1220}
35,332,{1258}
35,331,{1258}
35,330,{1258}
35,297,{1230}
35,296,{1230}
35,295,{1230}
35,264,{1220}
35,263,{1220}
35,262,{1220}
35,261,{1220}
35,260,{1220}
36,332,{1258}
36,331,{1258}
36,330,{1258}
36,329,{1258}
36,328,{1258}
36,297,{1230}
36,296,{1230}
36,295,{1230}
36,265,{1220}
36,264,{1220}
36,263,{1220}
36,262,{1220}
36,261,{1220}
36,260,{1220}
36,259,{1220}
37,331,{1258}
37,330,{1258}
37,329,{1258}
37,328,{1258}
37,298,{1230}
37,297,{1230}
37,296,{1230}
37,295,{1230}
37,266,{1220}
37,265,{1220}
37,264,{1220}
37,263,{1220}
37,262,{1220}
37,261,{1220}
37,260,{1220}
37,259,{1220}
37,258,{1220}
37,242,{1218}
37,241,{1218}
38,442,{20163}
38,441,{20163}
38,331,{1258}
38,330,{1258}
38,329,{1258}
38,328,{1258}
